101, 100, 101
57366066773522, 57366066773521, 57366066773522
4738119557, 4738119556, 4738119557
37, 36, 37
4762, 4761, 4762
10, 9, 10
19175642, 19175641, 19175642
50, 49, 50
222785, 222784, 222785
229210788604682, 229210788604681, 229210788604682
65, 64, 65
1513047603601, 1513047603600, 1513047603601
312122225042, 312122225041, 312122225042
82, 81, 82
5, 4, 5
173659685, 173659684, 173659685
993588310522, 993588310521, 993588310522
9026, 9025, 9026
5872769957, 5872769956, 5872769957
149174638681850, 149174638681849, 149174638681850
114922, 114921, 114922
583697, 583696, 583697
785, 784, 785
213473569025, 213473569024, 213473569025
63378476323601, 63378476323600, 63378476323601
43507217, 43507216, 43507217
27449646256082, 27449646256081, 27449646256082
503926774885, 503926774884, 503926774885
474496412570, 474496412569, 474496412570
1090, 1089, 1090
442, 441, 442
597522816017, 597522816016, 597522816017
82, 81, 82
37, 36, 37
6725, 6724, 6725
2, 1, 2
26, 25, 26
5, 4, 5
1850, 1849, 1850
398311192162, 398311192161, 398311192162
2934280562, 2934280561, 2934280562
5626, 5625, 5626
37, 36, 37
204305, 204304, 204305
31539457, 31539456, 31539457
2, 1, 2
17065162, 17065161, 17065162
15225605, 15225604, 15225605
37, 36, 37
10, 9, 10
2197379626478657, 2197379626478656, 2197379626478657
93934865, 93934864, 93934865
82, 81, 82
1225635752464562, 1225635752464561, 1225635752464562
401, 400, 401
3726980402, 3726980401, 3726980402
139364089226, 139364089225, 139364089226
781457, 781456, 781457
2429507451721157, 2429507451721156, 2429507451721157
26970344116805, 26970344116804, 26970344116805
58850163160997, 58850163160996, 58850163160997
17, 16, 17
37, 36, 37
94144230812026, 94144230812025, 94144230812026
577, 576, 577
303385295725682, 303385295725681, 303385295725682
82, 81, 82
97772545, 97772544, 97772545
5560527558413026, 5560527558413025, 5560527558413026
91298026, 91298025, 91298026
23203421562050, 23203421562049, 23203421562050
2, 1, 2
139130, 139129, 139130
1323577162, 1323577161, 1323577162
45493770438650, 45493770438649, 45493770438650
26, 25, 26
784997, 784996, 784997
45212902194917, 45212902194916, 45212902194917
26, 25, 26
1220873482, 1220873481, 1220873482
13226, 13225, 13226
8972636177, 8972636176, 8972636177
82, 81, 82
7879580290, 7879580289, 7879580290
1329339548291882, 1329339548291881, 1329339548291882
2528101, 2528100, 2528101
1743647050, 1743647049, 1743647050
1981674257, 1981674256, 1981674257
33814226, 33814225, 33814226
3664822565177285, 3664822565177284, 3664822565177285
8465, 8464, 8465
79517918267525, 79517918267524, 79517918267525
2738847557, 2738847556, 2738847557
4690606145, 4690606144, 4690606145
29834645652101, 29834645652100, 29834645652101
55726226, 55726225, 55726226
4473201925, 4473201924, 4473201925
50, 49, 50
9108325, 9108324, 9108325
11262737, 11262736, 11262737
25629544128970, 25629544128969, 25629544128970
5788760143545605, 5788760143545604, 5788760143545605
1180740858848101, 1180740858848100, 1180740858848101
10, 9, 10
30546866794085, 30546866794084, 30546866794085
56702086885, 56702086884, 56702086885
5252335730, 5252335729, 5252335730
7570, 7569, 7570
18354301092865, 18354301092864, 18354301092865
406719101929285, 406719101929284, 406719101929285
5, 4, 5
6368400860712122, 6368400860712121, 6368400860712122
37859410, 37859409, 37859410
235226, 235225, 235226
1765, 1764, 1765
17425, 17424, 17425
18497, 18496, 18497
50, 49, 50
92140802, 92140801, 92140802
82, 81, 82
171397, 171396, 171397
71160364082, 71160364081, 71160364082
13723935203890, 13723935203889, 13723935203890
2, 1, 2
7313407342845445, 7313407342845444, 7313407342845445
35139049952401, 35139049952400, 35139049952401
28323685, 28323684, 28323685
18782290493317, 18782290493316, 18782290493317
